,Date,Price,Open,High,Low,Vol.
984,1/4/2021,1042.4,977.76,1158.27,894.24,5190
983,1/5/2021,1099.52,1042.48,1131.56,976.91,3250
982,1/6/2021,1207.77,1099.77,1210.78,1060.67,3750
981,1/7/2021,1224.35,1208.71,1286.81,1153.09,2710
980,1/8/2021,1215.73,1224.33,1271.08,1069.25,2710
979,1/9/2021,1275.58,1215.92,1301.75,1172.39,1990
978,1/10/2021,1256.04,1275.87,1347.98,1180.45,2650
977,1/11/2021,1091.47,1255.84,1257.3,917.96,4190
976,1/12/2021,1050.19,1086.96,1149.19,1008.28,3090
975,1/13/2021,1128.46,1050.2,1134.66,990.96,2250
974,1/14/2021,1226.17,1128.8,1246.52,1088.52,1550
973,1/15/2021,1171.68,1233.34,1256.13,1079.19,2850
972,1/16/2021,1228.27,1172.12,1290.92,1154.04,2290
971,1/17/2021,1232.64,1228.33,1269.01,1168.39,2150
970,1/18/2021,1258.06,1233.93,1260.3,1184.15,1730
969,1/19/2021,1372,1258.1,1437.42,1252.36,2270
968,1/20/2021,1377.53,1372,1406.56,1237.27,3050
967,1/21/2021,1117.33,1377.63,1387.39,1095.26,2760
966,1/22/2021,1234.58,1118.01,1272.85,1045.02,2940
965,1/23/2021,1233.4,1234.34,1271.65,1196.94,1460
964,1/24/2021,1390.28,1233.41,1398,1222.14,2300
963,1/25/2021,1317.9,1390.69,1474.68,1298.13,2770
962,1/26/2021,1366.27,1317.67,1377.94,1246.45,2560
961,1/27/2021,1247.62,1366.14,1372.31,1210.4,2900
960,1/28/2021,1328.47,1247.67,1359.51,1221.15,814310
959,1/29/2021,1379.3,1329.16,1436.27,1288.26,3330
958,1/30/2021,1376.96,1379.78,1405.78,1327.66,1590
957,1/31/2021,1312.73,1377.05,1380.04,1282.41,1540
956,2/1/2021,1373.4,1312.69,1376.44,1272.09,1650
955,2/2/2021,1511.36,1373.31,1546.88,1361.63,2730
954,2/3/2021,1664.34,1511.96,1667.93,1510.27,2270
953,2/4/2021,1594,1664.19,1693.64,1570.45,2340
952,2/5/2021,1719.2,1593.91,1760.09,1589.28,1800
951,2/6/2021,1676.63,1719.11,1742.9,1648.03,1780
950,2/7/2021,1612.99,1676.62,1692.29,1491.68,1940
949,2/8/2021,1750.18,1612.98,1775.12,1566.43,2170
948,2/9/2021,1770.63,1750.19,1818.94,1711.4,1940
947,2/10/2021,1742.09,1770.81,1835.4,1683.52,2010
946,2/11/2021,1786.35,1742.11,1817.68,1704.97,1560
945,2/12/2021,1841.02,1786.74,1862.17,1741.04,1750
944,2/13/2021,1815.49,1840.9,1871.36,1766.05,1440
943,2/14/2021,1801.78,1815.44,1850,1787.11,1430
942,2/15/2021,1778.82,1800.6,1835.51,1661.09,1940
941,2/16/2021,1781.69,1778.63,1827.07,1726.78,1480
940,2/17/2021,1847.95,1781.44,1854.03,1734.15,1690
939,2/18/2021,1934.16,1849.95,1950.04,1849.05,881870
938,2/19/2021,1955.59,1934.17,1968.93,1892.7,1780
937,2/20/2021,1913.88,1955.54,2040.79,1800,2290
936,2/21/2021,1933.45,1912.97,1974.99,1885.7,1470
935,2/22/2021,1777.28,1933.52,1935.04,1561.68,2680
934,2/23/2021,1578.11,1777.25,1781.44,1370.45,3600
933,2/24/2021,1623.71,1578.27,1711.16,1505.79,2190
932,2/25/2021,1476.15,1623.76,1669.24,1460.92,1750
931,2/26/2021,1445.44,1476.77,1561.66,1403.3,2130
930,2/27/2021,1458.93,1445.69,1527.69,1427.15,1560
929,2/28/2021,1418.76,1458.84,1467.76,1294.79,2070
928,3/1/2021,1570.03,1418.91,1571.15,1411.55,1920
927,3/2/2021,1488.62,1570,1602.13,1457.22,1740
926,3/3/2021,1571.05,1488.8,1653.04,1477.72,1170
925,3/4/2021,1538.61,1567.84,1623.73,1506.86,1700
924,3/5/2021,1530.29,1539.73,1548.71,1443.32,1670
923,3/6/2021,1649.19,1530.24,1670.01,1514.62,2070
922,3/7/2021,1728.1,1650.94,1732.84,1634.73,1690
921,3/8/2021,1831.49,1727.17,1841.05,1665.54,1970
920,3/9/2021,1869.1,1831.57,1869.1,1801.29,1580
919,3/10/2021,1794.14,1869.32,1875.98,1759.5,1660
918,3/11/2021,1825.79,1794.28,1845.32,1729.05,1580
917,3/12/2021,1766.9,1827.44,1841.19,1723.18,1520
916,3/13/2021,1921.13,1767.05,1943.36,1730.46,1790
915,3/14/2021,1849.06,1921.29,1932.36,1836.78,671560
914,3/15/2021,1792.38,1848.18,1890.59,1745.04,1700
913,3/16/2021,1804.85,1792.08,1817.35,1715.97,1810
912,3/17/2021,1823.35,1804.56,1837.88,1743.62,1500
911,3/18/2021,1776.08,1823.72,1849.23,1760.83,1530
910,3/19/2021,1809.64,1775.87,1848.88,1735.42,1200
909,3/20/2021,1804.6,1809.09,1868.09,1801.6,27030
908,3/21/2021,1783.72,1804.6,1815.85,1748.47,1430
907,3/22/2021,1682.37,1783.58,1806.62,1659.28,1580
